threads size iterations precision time
15 16 303 9.866165e-04 0.004
15 32 702 9.940066e-04 0.007
15 64 1084 9.972884e-04 0.012
15 128 1264 9.987003e-04 0.015
15 256 1331 9.997889e-04 0.013
15 512 1360 9.968687e-04 0.022
15 1024 1373 9.975512e-04 0.017
15 2048 1379 9.991673e-04 0.019
15 4096 1382 9.996832e-04 0.023
15 8192 1384 9.973784e-04 0.027
15 16384 1385 9.962115e-04 0.042
15 32768 1385 9.981108e-04 0.067
15 65536 1385 9.990605e-04 0.123
16 2 10 9.290507e-04 0.000
16 4 32 8.637158e-04 0.000
16 8 101 9.516504e-04 0.001
16 16 303 9.866165e-04 0.004
16 32 702 9.940066e-04 0.008
16 64 1084 9.972884e-04 0.015
16 128 1264 9.987003e-04 0.014
16 256 1331 9.997889e-04 0.015
16 512 1360 9.968687e-04 0.016
16 1024 1373 9.975512e-04 0.020
16 2048 1379 9.991673e-04 0.021
16 4096 1382 9.996832e-04 0.022
16 8192 1384 9.973784e-04 0.026
16 16384 1385 9.962115e-04 0.039
16 32768 1385 9.981108e-04 0.066
16 65536 1385 9.990605e-04 0.118
