vectorsize sequential_time parallel_time
46201 0.00708 0.00735
46301 0.00698 0.00739
46401 0.00692 0.00737
46501 0.00688 0.00736
46601 0.00697 0.00743
46701 0.00703 0.00740
46801 0.00695 0.00741
46901 0.00716 0.00745
47001 0.00703 0.00750
47101 0.00722 0.00751
47201 0.00699 0.00750
47301 0.00711 0.00751
47401 0.00718 0.00752
47501 0.00723 0.00752
47601 0.00717 0.00757
47701 0.00723 0.00754
47801 0.00715 0.00758
47901 0.00739 0.00756
48001 0.00726 0.00762
48101 0.00740 0.00763
48201 0.00723 0.00764
48301 0.00714 0.00762
48401 0.00735 0.00773
48501 0.00732 0.00774
48601 0.00744 0.00769
48701 0.00728 0.00771
48801 0.00746 0.00774
48901 0.00737 0.00775
49001 0.00734 0.00779
49101 0.00743 0.00782
49201 0.00755 0.00781
49301 0.00750 0.00781
49401 0.00757 0.00782
49501 0.00733 0.00782
49601 0.00737 0.00785
49701 0.00750 0.00787
49801 0.00756 0.00790
49901 0.00752 0.00792
