threads vectorsize sequential_time parallel_time
13 5326 0.00116 0.00007
13 5351 0.00104 0.00005
13 5376 0.00114 0.00005
13 5401 0.00112 0.00004
13 5426 0.00113 0.00004
13 5451 0.00107 0.00007
13 5476 0.00103 0.00007
13 5501 0.00129 0.00009
13 5526 0.00114 0.00002
13 5551 0.00109 0.00002
13 5576 0.00107 0.00004
13 5601 0.00128 0.00007
13 5626 0.00117 0.00002
13 5651 0.00108 0.00005
13 5676 0.00113 0.00004
13 5701 0.00119 0.00001
13 5726 0.00124 0.00006
13 5751 0.00111 0.00002
13 5776 0.00104 0.00002
13 5801 0.00100 0.00005
13 5826 0.00108 0.00004
13 5851 0.00128 0.00004
13 5876 0.00128 0.00006
13 5901 0.00110 0.00004
13 5926 0.00123 0.00009
13 5951 0.00119 0.00002
13 5976 0.00123 0.00002
13 6001 0.00133 0.00002
13 6026 0.00144 0.00001
13 6051 0.00123 0.00004
13 6076 0.00113 0.00001
13 6101 0.00131 0.00003
13 6126 0.00131 0.00005
13 6151 0.00116 0.00004
13 6176 0.00128 0.00004
13 6201 0.00119 0.00004
13 6226 0.00100 0.00004
13 6251 0.00117 0.00004
13 6276 0.00106 0.00004
13 6301 0.00139 0.00005
13 6326 0.00106 0.00007
13 6351 0.00137 0.00007
13 6376 0.00137 0.00006
13 6401 0.00120 0.00004
13 6426 0.00117 0.00004
13 6451 0.00117 0.00004
13 6476 0.00140 0.00004
13 6501 0.00138 0.00007
13 6526 0.00143 0.00001
13 6551 0.00139 0.00007
13 6576 0.00140 0.00005
13 6601 0.00150 0.00005
13 6626 0.00136 0.00008
13 6651 0.00134 0.00004
13 6676 0.00134 0.00004
13 6701 0.00121 0.00004
13 6726 0.00112 0.00008
13 6751 0.00121 0.01370
13 6776 0.00124 0.00965
13 6801 0.00138 0.00006
13 6826 0.00127 0.00004
13 6851 0.00131 0.00005
13 6876 0.00147 0.00007
13 6901 0.00140 0.00005
13 6926 0.00132 0.00004
13 6951 0.00155 0.00005
13 6976 0.00141 0.00004
13 7001 0.00148 0.00009
13 7026 0.00144 0.00004
13 7051 0.00123 0.00007
13 7076 0.00118 0.00004
13 7101 0.00150 0.00002
13 7126 0.00157 0.00001
13 7151 0.00150 0.00001
13 7176 0.00137 0.00004
13 7201 0.00137 0.00004
13 7226 0.00124 0.00003
13 7251 0.00150 0.00004
13 7276 0.00140 0.00005
13 7301 0.00115 0.00004
13 7326 0.00115 0.00006
13 7351 0.00114 0.00006
13 7376 0.00124 0.00010
13 7401 0.00109 0.00003
13 7426 0.00138 0.00008
13 7451 0.00148 0.00005
13 7476 0.00135 0.00004
13 7501 0.00140 0.00003
13 7526 0.00131 0.00005
