threads vectorsize sequential_time parallel_time
8 7526 0.00118 0.00002
8 7551 0.00110 0.00002
8 7576 0.00108 0.00001
8 7601 0.00108 0.00001
8 7626 0.00113 0.00002
8 7651 0.00105 0.00005
8 7676 0.00091 0.00001
8 7701 0.00100 0.00005
8 7726 0.00094 0.00001
8 7751 0.00113 0.00004
8 7776 0.00155 0.00004
8 7801 0.00165 0.00002
8 7826 0.00145 0.00005
8 7851 0.00133 0.00002
8 7876 0.00131 0.00005
8 7901 0.00116 0.00001
8 7926 0.00101 0.00004
8 7951 0.00099 0.00002
8 7976 0.00107 0.00004
8 8001 0.00107 0.00001
8 8026 0.00096 0.00004
8 8051 0.00094 0.00004
8 8076 0.00094 0.00001
8 8101 0.00094 0.00003
8 8126 0.00179 0.00004
8 8151 0.00170 0.00001
8 8176 0.00177 0.00004
8 8201 0.00159 0.00004
8 8226 0.00147 0.00001
8 8251 0.00127 0.00004
8 8276 0.00115 0.00003
8 8301 0.00104 0.00004
8 8326 0.00100 0.00002
8 8351 0.00101 0.00005
8 8376 0.00112 0.00002
8 8401 0.00101 0.00002
8 8426 0.00102 0.00004
8 8451 0.00113 0.00001
8 8476 0.00103 0.00001
8 8501 0.00115 0.00001
8 8526 0.00114 0.00001
8 8551 0.00114 0.00002
8 8576 0.00122 0.00001
8 8601 0.00114 0.00002
8 8626 0.00124 0.00002
8 8651 0.00110 0.00004
8 8676 0.00115 0.00003
8 8701 0.00104 0.00001
8 8726 0.00105 0.00001
8 8751 0.00105 0.00003
8 8776 0.00107 0.00002
8 8801 0.00102 0.00005
8 8826 0.00103 0.00004
8 8851 0.00105 0.00004
8 8876 0.00103 0.00002
8 8901 0.00104 0.00003
8 8926 0.00107 0.00002
8 8951 0.00132 0.00001
8 8976 0.00121 0.00004
8 9001 0.00121 0.00005
8 9026 0.00177 0.00004
8 9051 0.00169 0.00001
8 9076 0.00154 0.00002
8 9101 0.00140 0.00003
8 9126 0.00123 0.00000
8 9151 0.00116 0.00004
8 9176 0.00106 0.00001
8 9201 0.00107 0.00001
8 9226 0.00122 0.00003
8 9251 0.00137 0.00001
8 9276 0.00117 0.00002
8 9301 0.00113 0.00001
8 9326 0.00119 0.00001
8 9351 0.00114 0.00005
8 9376 0.00111 0.00001
8 9401 0.00109 0.00001
8 9426 0.00110 0.00004
8 9451 0.00110 0.00002
8 9476 0.00111 0.00002
8 9501 0.00110 0.00004
8 9526 0.00121 0.00004
8 9551 0.00121 0.00002
8 9576 0.00112 0.00002
8 9601 0.00114 0.00005
8 9626 0.00112 0.00004
8 9651 0.00112 0.00001
8 9676 0.00126 0.00004
8 9701 0.00114 0.00004
8 9726 0.00122 0.00001
8 9751 0.00119 0.00005
8 9776 0.00118 0.00002
8 9801 0.00115 0.00002
8 9826 0.00155 0.00004
8 9851 0.00166 0.00005
8 9876 0.00146 0.00002
8 9901 0.00155 0.00001
8 9926 0.00147 0.00001
8 9951 0.00126 0.00001
8 9976 0.00129 0.00002
16 1 0.00000 0.00004
16 26 0.00001 0.00005
16 51 0.00001 0.00013
16 76 0.00001 0.00007
16 101 0.00002 0.00004
16 126 0.00002 0.00004
16 151 0.00003 0.00002
16 176 0.00003 0.00004
16 201 0.00002 0.00003
16 226 0.00004 0.00004
16 251 0.00004 0.00008
16 276 0.00004 0.00020
16 301 0.00005 0.00007
16 326 0.00008 0.00004
16 351 0.00006 0.00004
16 376 0.00007 0.00004
16 401 0.00007 0.00011
16 426 0.00007 0.00004
16 451 0.00006 0.00032
16 476 0.00008 0.00006
16 501 0.00008 0.00004
16 526 0.00009 0.00004
16 551 0.00010 0.00005
16 576 0.00011 0.00006
16 601 0.00009 0.00008
16 626 0.00011 0.00004
16 651 0.00007 0.00007
16 676 0.00011 0.00005
16 701 0.00012 0.00008
16 726 0.00014 0.00004
16 751 0.00011 0.00004
16 776 0.00015 0.00005
16 801 0.00012 0.00004
16 826 0.00014 0.00008
16 851 0.00015 0.00005
16 876 0.00016 0.00005
16 901 0.00014 0.00004
16 926 0.00016 0.00045
16 951 0.00017 0.00044
16 976 0.00017 0.00007
16 1001 0.00018 0.00005
16 1026 0.00018 0.00002
16 1051 0.00019 0.00048
16 1076 0.00017 0.00005
16 1101 0.00021 0.00005
16 1126 0.00021 0.00005
16 1151 0.00020 0.00004
16 1176 0.00021 0.00004
16 1201 0.00021 0.00004
16 1226 0.00017 0.00004
16 1251 0.00022 0.00007
16 1276 0.00023 0.00004
16 1301 0.00023 0.00005
